qty, #, description
4, 91771A267, Passivated 18-8 Stainless Steel Phillips Flat Head Screw, 82 Degree Countersink, 2-56 Thread, 1-1/2" Long
4, 90107A003, 316 Stainless Steel Washer for Number 2 Screw Size, 0.094" ID, 0.25" OD
4, 91831A002, 18-8 Stainless Steel Nylon-Insert Locknut, 2-56 Thread Size
4, 94639A198, Off-White Nylon Unthreaded Spacer, 1/4" OD, 1" Long, for Number 2 Screw Size
2, 90273A112, Zinc-Plated Steel Phillips Flat Head Screws, 82 Degree Countersink Angle, 4-40 Thread Size, 5/8" Long


1,  , 3D printed base enclosure
1,  , 3D printed top enclosure
4,  , 3D printed push button extenders
